timestamp,cpu_pct,ram_used_mb,ram_total_mb,ram_pct,disk_write_kb_s
2026-07-27 17:55:51,34,17202,32639,52.7,0
2026-07-27 17:55:52,18,17191,32639,52.7,0
2026-07-27 17:55:57,9,17220,32639,52.8,0
2026-07-27 17:55:59,6,17220,32639,52.8,15.4
2026-07-27 17:56:04,4,17220,32639,52.8,0
2026-07-27 17:56:05,1,17219,32639,52.8,0
2026-07-27 17:56:10,4,17224,32639,52.8,0
2026-07-27 17:56:12,6,17224,32639,52.8,0
2026-07-27 17:56:16,7,17212,32639,52.7,78.1
2026-07-27 17:56:18,9,17206,32639,52.7,0
2026-07-27 17:56:23,3,17206,32639,52.7,0
2026-07-27 17:56:24,1,17200,32639,52.7,0
2026-07-27 17:56:29,6,17195,32639,52.7,0
2026-07-27 17:56:31,3,17170,32639,52.6,0
2026-07-27 17:56:36,6,17173,32639,52.6,0
2026-07-27 17:56:37,1,17174,32639,52.6,0
2026-07-27 17:56:42,3,17170,32639,52.6,0
2026-07-27 17:56:44,1,17176,32639,52.6,0
2026-07-27 17:56:48,1,17178,32639,52.6,0
2026-07-27 17:56:50,3,17184,32639,52.6,0
2026-07-27 17:56:55,11,17183,32639,52.6,15.2
2026-07-27 17:56:56,4,17185,32639,52.7,0
2026-07-27 17:57:01,2,17163,32639,52.6,3489.2
2026-07-27 17:57:03,14,13547,32639,41.5,0
2026-07-27 17:57:08,12,13893,32639,42.6,0
2026-07-27 17:57:09,10,13922,32639,42.7,0
2026-07-27 17:57:14,3,13919,32639,42.6,0
2026-07-27 17:57:16,0,13912,32639,42.6,0
2026-07-27 17:57:21,2,13907,32639,42.6,0
2026-07-27 17:57:22,3,13922,32639,42.7,108.7
2026-07-27 17:57:27,1,13951,32639,42.7,0
2026-07-27 17:57:29,6,13916,32639,42.6,31.7
2026-07-27 17:57:34,1,13994,32639,42.9,0
2026-07-27 17:57:35,1,13950,32639,42.7,0
2026-07-27 17:57:40,6,13988,32639,42.9,15.6
2026-07-27 17:57:41,8,14010,32639,42.9,0
2026-07-27 17:57:46,5,13982,32639,42.8,124.7
2026-07-27 17:57:48,0,13991,32639,42.9,124.2
2026-07-27 17:57:53,9,13980,32639,42.8,0
2026-07-27 17:57:54,7,13973,32639,42.8,0
2026-07-27 17:57:59,3,13973,32639,42.8,0
2026-07-27 17:58:01,7,13968,32639,42.8,0
2026-07-27 17:58:06,5,13975,32639,42.8,0
2026-07-27 17:58:07,1,13983,32639,42.8,0
2026-07-27 17:58:12,4,13948,32639,42.7,0
2026-07-27 17:58:14,3,13945,32639,42.7,0
2026-07-27 17:58:18,7,13948,32639,42.7,0
2026-07-27 17:58:20,7,13948,32639,42.7,243.9
2026-07-27 17:58:25,4,13944,32639,42.7,15.7
2026-07-27 17:58:26,4,13956,32639,42.8,0
2026-07-27 17:58:31,3,13970,32639,42.8,719.1
2026-07-27 17:58:33,4,13971,32639,42.8,0
2026-07-27 17:58:38,8,13979,32639,42.8,0
2026-07-27 17:58:39,2,13946,32639,42.7,0
2026-07-27 17:58:44,68,15315,32639,46.9,0
2026-07-27 17:58:46,8,15391,32639,47.2,0
2026-07-27 17:58:51,18,15473,32639,47.4,0
2026-07-27 17:58:52,4,15506,32639,47.5,0
2026-07-27 17:58:57,18,15723,32639,48.2,45.3
2026-07-27 17:58:59,28,16078,32639,49.3,15.8
2026-07-27 17:59:04,26,16328,32639,50,0
2026-07-27 17:59:05,11,16342,32639,50.1,247
2026-07-27 17:59:10,9,16624,32639,50.9,198.4
